recipe_id,ingredients,cooking_instructions,recipe_name,net_price,image_path
1,"chicken, rice, onion, garlic, soy sauce","Ingredients:
Chicken: 200 grams, diced
Rice: 1 cup cooked rice (preferably cold or leftover rice)
Onion: 1 medium, finely chopped
Garlic: 3 cloves, minced
Soy Sauce: 2 tablespoons
Steps:
1:Prepare Ingredients: Dice the chicken, finely chop the onion, and mince the garlic.
2:Cook the Chicken: In a large pan, heat a tablespoon of oil and cook the diced chicken until browned, then set aside.
3:Sauté Onion and Garlic: In the same pan, add more oil if needed, then sauté the onion and garlic until fragrant.
4:Add Rice and Soy Sauce: Add the cooked rice, chicken, and soy sauce, stirring to mix evenly and heat through.
5:Serve: Serve the chicken fried rice hot, optionally garnished with green onions or sesame seeds.",Chicken Fried Rice,400,Recipes Pictures\Chicken Fried Rice.jpeg
2,"pasta, tomato sauce, ground beef, onion, garlic","Ingredients:
Pasta: 200 grams (spaghetti or any pasta of choice)
Tomato Sauce: 1 cup (240 ml)
Ground Beef: 200 grams
Onion: 1 medium, finely chopped
Garlic: 3 cloves, minced
Steps:
1:Prepare Ingredients: Finely chop the onion, mince the garlic, and cook the pasta according to package instructions.
2:Cook the Ground Beef: In a pan, cook the ground beef over medium heat until browned, then remove excess fat.
3:Sauté Onion and Garlic: In the same pan, sauté the onion and garlic until fragrant and translucent.
4:Add Tomato Sauce: Stir the tomato sauce into the pan, return the beef, and let it simmer for 10-15 minutes.
5:Combine and Serve: Mix the sauce with cooked pasta, toss to coat evenly, and serve hot.",Spaghetti Bolognese,450,Recipes Pictures\Spaghetti Bolognese.jpeg
3,"salmon, lemon, dill, olive oil","Ingredients:
Salmon: 2 fillets (about 200 grams each)
Lemon: 1 lemon, sliced (for garnish) and juice of half a lemon (for marinade)
Dill: 1 tablespoon fresh dill, chopped
Olive Oil: 1 tablespoon
Steps:
1:Prepare Marinade: In a small bowl, mix the olive oil, lemon juice, and chopped dill.
2:Marinate the Salmon: Brush the salmon fillets with the marinade and let sit for 10-15 minutes.
3:Preheat the Grill: Heat the grill or a grill pan over medium-high heat.
4:Grill the Salmon: Place the fillets skin-side down on the grill and cook for 4-5 minutes per side until flaky.
Serve: Garnish with lemon slices and extra dill, and enjoy hot.",Grilled Salmon,700,Recipes Pictures\Grilled Salmon.jpeg
4,"potato, butter, milk","Ingredients:
Potatoes: 500 grams (about 3 medium-sized potatoes)
Butter: 2 tablespoons
Milk: 1/4 cup (60 ml)
Steps:
1:Prepare Potatoes: Peel and cut the potatoes into evenly sized chunks.
2:Boil Potatoes: Boil the potatoes in salted water for 15-20 minutes until fork-tender, then drain.
3:Mash the Potatoes: Mash the potatoes while hot using a masher or fork.
4:Add Butter and Milk: Mix in the butter and milk, adjusting consistency as needed, and season with salt.
5:Serve: Serve the mashed potatoes warm as a side dish or on their own.",Mashed Potatoes,300,Recipes Pictures\Mashed Potatoes.jpeg
5,"lettuce, tomato, cucumber, onion, olive oil","Ingredients:
Lettuce: 2 cups, chopped
Tomato: 1 large, diced
Cucumber: 1 medium, diced
Onion: 1/2 medium, thinly sliced
Olive Oil: 2 tablespoons
Steps:
1:Prepare the Vegetables: Chop the lettuce, dice the tomato and cucumber, and thinly slice the onion.
2:Toss Ingredients: In a large bowl, combine the lettuce, tomato, cucumber, and onion.
3:Add Olive Oil: Drizzle olive oil over the salad and toss to coat evenly.
4:Season: Optionally, add salt, pepper, and a squeeze of lemon juice for extra flavor.
5:Serve: Serve immediately as a fresh and healthy side salad.",Greek Salad,500,Recipes Pictures\Greek Salad.jpeg
6,"beef, onion, bell pepper, tomato, cumin","Ingredients:
Beef: 300 grams, thinly sliced
Onion: 1 medium, sliced into strips
Bell Pepper: 1 large, sliced into strips
Tomato: 1 medium, diced
Cumin: 1 teaspoon (ground)
Steps:
1:Prepare Ingredients: Slice the beef, onion, and bell pepper into thin strips and dice the tomato.
2:Season the Beef: Toss the beef with cumin, salt, and pepper for flavor.
3:Cook the Beef: In a hot skillet, sear the beef for 3-4 minutes until browned, then set aside.
4:Sauté Vegetables: In the same pan, cook the onion and bell pepper until soft, then stir in the diced tomato.
5:Combine and Serve: Return the beef to the skillet, mix well, and serve hot with tortillas or as desired",Beef Fajitas,1250,Recipes Pictures\Beef Fajitas.jpeg
7,"chicken, tortilla, lettuce, cheese, salsa","Ingredients:
Chicken: 200 grams, cooked and shredded or diced.
Tortilla: 4 small-sized tortillas (soft or hard shell)
Lettuce: 1 cup, shredded
Cheese: 1/2 cup, shredded (cheddar or your choice)
Salsa: 1/2 cup (store-bought or homemade)
Steps:
1:Prepare Ingredients: Cook and shred the chicken, shred the lettuce and cheese, and warm the tortillas.
2:Assemble Base: Place a tortilla on a plate and add a layer of shredded chicken in the center.
3:Add Lettuce and Cheese: Top the chicken with shredded lettuce and cheese.
4:Finish with Salsa: Spoon salsa over the toppings for flavor.
5:Serve: Fold the tortilla, serve immediately, and enjoy your tacos.",Chicken Tacos,800,Recipes Pictures\Chicken Tacos.jpeg
8,"rice, beans, avocado, tomato, cilantro","Ingredients:
Rice: 1 cup, cooked
Beans: 1 cup, cooked (black or pinto beans)
Avocado: 1, diced or sliced
Tomato: 1 medium, diced
Cilantro: 2 tablespoons, chopped
Steps:
1:Prepare Ingredients: Cook the rice and beans if not pre-cooked, and dice the avocado and tomato.
2:Assemble the Base: In a bowl, layer the cooked rice and beans as the base.
3:Add Fresh Toppings: Top with diced avocado, tomato, and a sprinkle of chopped cilantro.
4:Season: Optionally, add salt, pepper, or a squeeze of lime juice for extra flavor.
Serve: Serve immediately as a fresh, healthy, and vibrant rice bowl.




",Rice and Beans Bowl,300,Recipes Pictures\Rice and Beans Bowl.jpeg
9,"egg, cheese, spinach, tomato, onion","Ingredients:
Eggs: 2 large
Cheese: 1/4 cup, shredded (cheddar or your choice)
Spinach: 1/2 cup, chopped
Tomato: 1 small, diced
Onion: 1/4 medium, finely chopped
Steps:
1:Prepare Ingredients: Chop the spinach, onion, and tomato, and shred the cheese. Beat the eggs in a bowl with a pinch of salt.
2:Cook Vegetables: Sauté onion, spinach, and tomato in a non-stick pan for 2 minutes until softened.
3:Add Eggs: Pour the beaten eggs over the vegetables and cook over medium heat until the edges set.
4:Add Cheese: Sprinkle shredded cheese on one side of the omelette and fold it in half.
5:Serve: Cook for another minute, slide onto a plate, and serve hot.
",Spinach and Cheese Omelette,250,Recipes Pictures\Spinach and Cheese Omelette.jpeg
11,"quinoa, black beans, corn, bell pepper, lime","Ingredients:
Quinoa: 1 cup, cooked
Black Beans: 1 cup, cooked or canned (rinsed and drained)
Corn: 1/2 cup, cooked or canned (drained)
Bell Pepper: 1 medium, diced (any color)
Lime: Juice of 1 lime
Steps:
1:Prepare Ingredients: Cook the quinoa, rinse and drain the black beans, and dice the bell pepper.
2:Combine Ingredients: In a large bowl, mix the quinoa, black beans, corn, and diced bell pepper.
3:Add Lime Juice: Squeeze fresh lime juice over the mixture and toss to combine.
4:Season: Optionally, add salt, pepper, or chopped cilantro for extra flavor.
5:Serve: Serve chilled or at room temperature as a refreshing, healthy salad.",Quinoa Salad,450,Recipes Pictures\Quinoa Salad.jpeg
